Week,Player,Chosen Fighter,Opponent,Odds,W_L,Result,Fight Length,Weight Class,Fight Location,M_F,Ref,Season Victory
Week 1,Aaron,Jamey-Lyn Horth,Miranda Maverick,525,L,UD, 900:00,Flyweight (W),Prelim,F,A. Glenn,
,Alex,Felipe Lima,Miles Johns,-260,W,UD, 900:00,Featherweight,Prelim,M,J. Herzog,
,Chika,Billy Quarantillo,Cub Swanson,-160,L,Round 3 TKO, 696:00,Featherweight,Main Card,M,J. Herzog,
,Conor,Navajo Stirling,Tuco Tokkos,-900,W,UD, 900:00,Light Heavyweight,Main Card,M,D. Miragliotta,
,Daniel,Joaquin Buckley,Colby Covington,-225,W,Round 3 TKO, 882:00,Welterweight,Main Card,M,D. Miragliotta,
,Felix,Manel Kape,Bruno Silva,-400,W,Round 3 TKO, 717:00,Flyweight,Main Card,M,K. Peterson,
,Goro,Sean Woodson,Fernando Padilla,-150,W,Round 1 TKO, 298:00,Featherweight,Prelim,M,A. Glenn,
,Ian,Miranda Maverick,Jamey-Lyn Horth,-750,W,UD, 900:00,Flyweight (W),Prelim,F,A. Glenn,
,Joe,Not Applicable,Not Applicable,Not Applicable,L,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
,Kanta,Jamey-Lyn Horth,Miranda Maverick,525,L,UD, 900:00,Flyweight (W),Prelim,F,A. Glenn,
,Noah,Sean Woodson,Fernando Padilla,-150,W,Round 1 TKO, 298:00,Featherweight,Prelim,M,A. Glenn,
,Rav,Colby Covington,Joaquin Buckley,185,L,Round 3 TKO, 882:00,Welterweight,Main Card,M,D. Miragliotta,
,Sam,Joaquin Buckley,Colby Covington,-225,W,Round 3 TKO, 882:00,Welterweight,Main Card,M,D. Miragliotta,
,Scott,Josefine Knutsson,Piera Rodriguez,-260,L,UD, 900:00,Strawweight (W),Prelim,F,J. Herzog,
,Taylan,Joel Alvarez,Drakkar Klose,-500,W,Round 1 TKO, 168:00,Lightweight,Prelim,M,D. Miragliotta,
,Ty,Manel Kape,Bruno Silva,-400,W,Round 3 TKO, 717:00,Flyweight,Main Card,M,K. Peterson,
Week 2,Alex,Magomed Gadzhiyasulov,Bruno Lopes,-275,L,UD, 900:00,Light Heavyweight,Prelim,M,M. Smith,
,Conor,Santiago Ponzinibbio,Carlston Harris,-140,W,Round 3 TKO, 793:00,Welterweight,Main Card,M,K. Hatley,
,Daniel,Fatima Kline,Victoria Dudakova,-900,W,Round 2 TKO, 567:00,Strawweight (W),Prelim,F,C. Tognoni,
,Felix,Roman Kopylov,Chris Curtis,-230,W,Round 3 TKO, 899:00,Middleweight,Main Card,M,M. Smith,
,Goro,Roman Kopylov,Chris Curtis,-230,W,Round 3 TKO, 899:00,Middleweight,Main Card,M,M. Smith,
,Ian,Cesar Almeida,Abdul Razak Alhassan,-265,W,Round 1 TKO, 256:00,Middleweight,Main Card,M,M. Beltran,
,Noah,Not Applicable,Not Applicable,Not Applicable,L,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
,Sam,Roman Kopylov,Chris Curtis,-230,W,Round 3 TKO, 899:00,Middleweight,Main Card,M,M. Smith,
,Taylan,Marco Tulio,Ihor Potieria,-530,W,Round 1 TKO, 184:00,Catchweight,Prelim,M,M. Smith,
,Ty,Roman Kopylov,Chris Curtis,-230,W,Round 3 TKO, 899:00,Middleweight,Main Card,M,M. Smith,
Week 3,Conor,Jiri Prochazka,Jamahal Hill,110,W,Round 3 TKO, 781:00,Light Heavyweight,Main Card,M,M. Beltran,
,Daniel,Payton Talbott,Raoni Barcelos,-1150,L,UD, 900:00,Bantamweight,Prelim,M,H. Dean,
,Felix,Payton Talbott,Raoni Barcelos,-1150,L,UD, 900:00,Bantamweight,Prelim,M,H. Dean,
,Goro,Rinya Nakamura,Muin Gafurov,-600,L,UD, 900:00,Bantamweight,E-Prelim,M,J. Herzog,
,Ian,Islam Makhachev,Renato Moicano,-950,W,Round 1 Sub, 245:00,Lightweight,Main Card,M,H. Dean,
,Sam,Islam Makhachev,Renato Moicano,-950,W,Round 1 Sub, 245:00,Lightweight,Main Card,M,H. Dean,
,Taylan,Payton Talbott,Raoni Barcelos,-1150,L,UD, 900:00,Bantamweight,Prelim,M,H. Dean,
,Ty,Payton Talbott,Raoni Barcelos,-1150,L,UD, 900:00,Bantamweight,Prelim,M,H. Dean,
,Parlay,Fight 1,Fight 2,Fight 3,Co-Main,Main event,,Result,Redemption (Y/N),,,
,Aaron,Reinier de Ridder,Jailton Almeida,Jiri Prochazka,Umar Nurmagomedov,Islam Makhachev,,4/5,N,,,
,Alex,Reinier de Ridder,Jailton Almeida,Jiri Prochazka,Umar Nurmagomedov,Islam Makhachev,,4/5,N,,,
,Chika,Kevin Holland,Jailton Almeida,Jiri Prochazka,Merab Dvalishvili,Islam Makhachev,,4/5,N,,,
,Joe,Reinier de Ridder,Jailton Almeida,Jiri Prochazka,Umar Nurmagomedov,Islam Makhachev,,4/5,N,,,
,Kanta,Reinier de Ridder,Jailton Almeida,Jiri Prochazka,Merab Dvalishvili,Islam Makhachev,,5/5,Y,,,
,Noah,Kevin Holland,Jailton Almeida,Jiri Prochazka,Merab Dvalishvili,Islam Makhachev,,4/5,N,,,
,Rav,Reinier de Ridder,Jailton Almeida,Jiri Prochazka,Merab Dvalishvili,Islam Makhachev,,5/5,Y,,,
,Scott,Reinier de Ridder,Jailton Almeida,Jamahal Hill,Umar Nurmagomedov,Islam Makhachev,,3/5,N,,,
Week 4,Conor,Isreal Adesanya,Nassourdine Imavov,-165,L,Round 2 TKO, 330:00,Middleweight,Main Card,M,M. Goddard,
,Ian,Shamil Gaziev,Thomas Peterson,-350,W,Round 1 TKO, 192:00,Heavyweight,Prelim,M,J. Herzog,
,Kanta,Bogdan Grad,Lucas Alexander,100,W,Round 2 TKO, 562:00,Catchweight,Prelim,M,K. Hatley,
,Rav,Isreal Adesanya,Nassourdine Imavov,-165,L,Round 2 TKO, 330:00,Middleweight,Main Card,M,M. Goddard,
,Sam,Sergei Pavlovich,Jairzinho Rozenstruik,-290,W,UD, 900:00,Heavyweight,Main Card,M,M. Smith,
Week 5,Ian,Kevin Jousset,Jonathan Micallef,-210,L,UD, 900:00,Welterweight,E-Prelim,M,R. Mitchell,
,Kanta,Justin Tafa,Tallison Teixeira,130,L,Round 1 TKO, 35:00,Heavyweight,Main Card,M,R. Mitchell,
,Sam,Dricus Du Plessis,Sean Strickland,-210,W,UD, 1500:00,Middleweight,Main Card,M,M. Goddard,
,Parlay,Fight 1,Fight 2,Fight 3,Co-Main,Main event,,Result,Redemption (Y/N),,,
,Conor,Jake Matthews,Rodolfo Bellato,Tallison Teixeira,Tatiana Suarez,Dricus Du Plessis,,3/5,N,,,
,Daniel,Jake Matthews,Jimmy Crute,Tallison Teixeira,Zhang Weili,Dricus Du Plessis,,4/5,N,,,
,Felix,Jake Matthews,Jimmy Crute,Tallison Teixeira,Zhang Weili,Dricus Du Plessis,,3/5,N,,,
,Goro,Jake Matthews,Rodolfo Bellato,Justin Tafa,Zhang Weili,Dricus Du Plessis,,2/5,N,,,
,Taylan,Jake Matthews,Jimmy Crute,Justin Tafa,Tatiana Suarez,Dricus Du Plessis,,3/5,N,,,
,Ty,Jake Matthews,Rodolfo Bellato,Tallison Teixeira,Zhang Weili,Sean Strickland,,3/5,N,,,
,Sam,,,,,,,,,,,Y