Season,Player,Chosen Fighter,Opponent,Odds,W_L,Fight Length,Result,Weight Class,Fight Location,M_F,Ref
Season 07,Taylan,Israel Adesanya,Dricus Du Plessis,-135,L, 1118:00,Round 4 Sub,Middleweight,Main Card,M,M. Goddard
Season 07,Ty,Gabriel Bonfim,Ange Loosa,-395,W, 900:00,UD,Welterweight,Main Card,M,D. Miragliotta
Season 07,Ty,Miranda Maverick,Dione Barbosa,-225,W, 900:00,UD,Flyweight (W),Prelim,F,C. Tognoni
Season 07,Ty,Arnold Allen,Giga Chikadze,-275,W, 900:00,UD,Featherweight,Main Card,M,M. Goddard
Season 07,Ty,Shara Magomedov,Michal Oleksiejczuk,-325,W, 900:00,UD,Middleweight,Main Card,M,D. Movahedi
Season 07,Ty,Youssef Zalal,Jarno Errens,-450,W, 232:00,Round 1 Sub,Featherweight,Prelim,M,M. Beltran
Season 07,Ty,Tom Nolan,Alex Reyes,-1100,W, 900:00,UD,Lightweight,E-Prelim,M,R. Mitchell
Season 08,Aaron,Gilbert Burns,Sean Brady,160,L, 1500:00,UD,Welterweight,Main Card,M,H. Dean
Season 08,Alex,Gabriel Santos,Yizah,-265,W, 900:00,UD,Featherweight,Prelim,M,K. Hatley
Season 08,Alex,Daniel Zellhuber,Esteban Rubovics,-190,L, 900:00,SD,Lightweight,Main Card,M,J. Herzog
Season 08,Chika,Gilbert Burns,Sean Brady,160,L, 1500:00,UD,Welterweight,Main Card,M,H. Dean
Season 08,Conor,Jaqueline Amorim,Vanessa Demopoulos,-310,W, 208:00,Round 1 Sub,Strawweight (W),Prelim,F,J. Montalvo
Season 08,Conor,Daniel Zellhuber,Esteban Rubovics,-190,L, 900:00,SD,Lightweight,Main Card,M,J. Herzog
Season 08,Daniel,Issac Dulgarian,Brendon Marotte,-2500,W, 559:00,Round 2 Sub,Featherweight,Prelim,M,M. Smith
Season 08,Daniel,Raul Rosas Jr,Aoriqileng,-1000,W, 900:00,UD,Bantamweight,E-Prelim,M,C. Tognoni
Season 08,Daniel,L'udovit Klein,Roosevelt Roberts,-1000,W, 900:00,UD,Lightweight,Prelim,M,C. Chapuis
Season 08,Daniel,Alex Pereira,Khalil Rountree Jr,-480,W, 1172:00,Round 4 TKO,Light Heavyweight,Main Card,M,M. Goddard
Season 08,Daniel,Grant Dawson,Rafa Garcia,-360,W, 402:00,Round 2 TKO,Lightweight,Main Card,M,C. Tognoni
Season 08,Daniel,Robelis Despaigne,Austen Lane,-350,L, 900:00,UD,Heavyweight,Prelim,M,M. Smith
Season 08,Daniel,Mike Malott,Trevin Giles,-320,W, 900:00,UD,Welterweight,Main Card,M,A. Social
Season 08,Daniel,Carlos Prates,Neil Magny,-800,W, 290:00,Round 1 TKO,Welterweight,Main Card,M,M. Smith
Season 08,Daniel,Jon Jones,Stipe Miocic,-650,W, 869:00,Round 3 TKO,Heavyweight,Main Card,M,H. Dean
Season 08,Daniel,Wang Cong,Gabriella Fernandes,-950,L, 529:00,Round 2 Sub,Flyweight (W),Main Card,F,M. Goddard
Season 08,Goro,Trevor Peek,Yanal Ashmouz,-125,L, 900:00,UD,Lightweight,Main Card,M,H. Dean
Season 08,Ian,Andre Petroski,Dylan Budka,-265,W, 900:00,UD,Catchweight,Prelim,M,M. Smith
Season 08,Ian,Diego Lopes,Brian Ortega,-195,W, 900:00,UD,Featherweight,Main Card,M,M. Goddard
Season 08,Ian,Benoit St. Denis,Renato Moicano,-290,L, 600:00,Round 2 TKO,Lightweight,Main Card,M,M. Goddard
Season 08,Joe,Jessica Andrade,Natalia Silva,250,L, 900:00,UD,Flyweight (W),Main Card,F,K. Hatley
Season 08,Kanta,Issac Dulgarian,Brendon Marotte,-2500,W, 559:00,Round 2 Sub,Featherweight,Prelim,M,M. Smith
Season 08,Kanta,Raul Rosas Jr,Aoriqileng,-1000,W, 900:00,UD,Bantamweight,E-Prelim,M,C. Tognoni
Season 08,Kanta,Bryan Battle,Kevin Jousset,-160,W, 527:00,Round 2 TKO,Welterweight,Main Card,M,H. Dean
Season 08,Kanta,Mario Bautista,Jose Aldo,-125,W, 900:00,SD,Bantamweight,Main Card,M,M. Beltran
Season 08,Kanta,Tatsuro Taira,Brandon Royval,-310,L, 1500:00,SD,Flyweight,Main Card,M,J. Herzog
Season 08,Kanta,Charles Jourdain,Victor Henry,-140,W, 523:00,Round 2 Sub,Bantamweight,Prelim,M,B. Grice
Season 08,Kanta,Tresean Gore,Antonio Trocoli,-175,W, 83:00,Round 1 Sub,Middleweight,Prelim,M,K. Hatley
Season 08,Kanta,Jim MIller,Damon Jackson,150,W, 164:00,Round 1 Sub,Lightweight,Prelim,M,K. Peterson
Season 08,Kanta,Carlos Ulberg,Volkan Oezdemir,-230,W, 900:00,UD,Light Heavyweight,Main Card,M,M. Beltran
Season 08,Noah,Sean Brady,Gilbert Burns,-190,W, 1500:00,UD,Welterweight,Main Card,M,H. Dean
Season 08,Noah,Valentina Shevchenko,Alexa Grasso,105,W, 1500:00,UD,Flyweight (W),Main Card,F,M. Smith
Season 08,Noah,Benoit St. Denis,Renato Moicano,-290,L, 600:00,Round 2 TKO,Lightweight,Main Card,M,M. Goddard
Season 08,Rav,Gilbert Burns,Sean Brady,160,L, 1500:00,UD,Welterweight,Main Card,M,H. Dean
Season 08,Sam,Natalia Silva,Jessica Andrade,-320,W, 900:00,UD,Flyweight (W),Main Card,F,K. Hatley
Season 08,Sam,,,,L,,,,,,
Season 08,Sam,Ramazonbek Temirov,CJ Vergara,-350,W, 170:00,Round 1 TKO,Flyweight,Prelim,M,J. Herzog
Season 08,Sam,Kyler Philips,Rob Font,-455,L, 900:00,UD,Bantamweight,Main Card,M,K. Peterson
Season 08,Scott,,,,L,,,,,,
Season 08,Taylan,Issac Dulgarian,Brendon Marotte,-2500,W, 559:00,Round 2 Sub,Featherweight,Prelim,M,M. Smith
Season 08,Taylan,Raul Rosas Jr,Aoriqileng,-1000,W, 900:00,UD,Bantamweight,E-Prelim,M,C. Tognoni
Season 08,Taylan,,,,L,,,,,,
Season 08,Ty,Issac Dulgarian,Brendon Marotte,-2500,W, 559:00,Round 2 Sub,Featherweight,Prelim,M,M. Smith
Season 08,Ty,Diego Lopes,Brian Ortega,-195,W, 900:00,UD,Featherweight,Main Card,M,M. Goddard
Season 08,Ty,Oumar Sy,Da Woon Jung,-600,W, 900:00,UD,Light Heavyweight,Prelim,M,R. Mitchell
Season 08,Ty,Kayla Harrison,Ketlen Vieira,-1100,W, 900:00,UD,Bantamweight (W),Main Card,F,M. Goddard
Season 08,Ty,Themba Gorimbo,Niko Price,-310,W, 900:00,UD,Welterweight,Prelim,M,H. Dean
Season 08,Ty,Robelis Despaigne,Austen Lane,-350,L, 900:00,UD,Heavyweight,Prelim,M,M. Smith
Season 09,Aaron,Jamey-Lyn Horth,Miranda Maverick,525,L, 900:00,UD,Flyweight (W),Prelim,F,A. Glenn
Season 09,Alex,Felipe Lima,Miles Johns,-260,W, 900:00,UD,Featherweight,Prelim,M,J. Herzog
Season 09,Alex,Magomed Gadzhiyasulov,Bruno Lopes,-275,L, 900:00,UD,Light Heavyweight,Prelim,M,M. Smith
Season 09,Chika,Billy Quarantillo,Cub Swanson,-160,L, 696:00,Round 3 TKO,Featherweight,Main Card,M,J. Herzog
Season 09,Conor,Navajo Stirling,Tuco Tokkos,-900,W, 900:00,UD,Light Heavyweight,Main Card,M,D. Miragliotta
Season 09,Conor,Santiago Ponzinibbio,Carlston Harris,-140,W, 793:00,Round 3 TKO,Welterweight,Main Card,M,K. Hatley
Season 09,Conor,Jiri Prochazka,Jamahal Hill,110,W, 781:00,Round 3 TKO,Light Heavyweight,Main Card,M,M. Beltran
Season 09,Conor,Isreal Adesanya,Nassourdine Imavov,-165,L, 330:00,Round 2 TKO,Middleweight,Main Card,M,M. Goddard
Season 09,Daniel,Joaquin Buckley,Colby Covington,-225,W, 882:00,Round 3 TKO,Welterweight,Main Card,M,D. Miragliotta
Season 09,Daniel,Fatima Kline,Victoria Dudakova,-900,W, 567:00,Round 2 TKO,Strawweight (W),Prelim,F,C. Tognoni
Season 09,Daniel,Payton Talbott,Raoni Barcelos,-1150,L, 900:00,UD,Bantamweight,Prelim,M,H. Dean
Season 09,Felix,Manel Kape,Bruno Silva,-400,W, 717:00,Round 3 TKO,Flyweight,Main Card,M,K. Peterson
Season 09,Felix,Roman Kopylov,Chris Curtis,-230,W, 899:00,Round 3 TKO,Middleweight,Main Card,M,M. Smith
Season 09,Felix,Payton Talbott,Raoni Barcelos,-1150,L, 900:00,UD,Bantamweight,Prelim,M,H. Dean
Season 09,Goro,Sean Woodson,Fernando Padilla,-150,W, 298:00,Round 1 TKO,Featherweight,Prelim,M,A. Glenn
Season 09,Goro,Roman Kopylov,Chris Curtis,-230,W, 899:00,Round 3 TKO,Middleweight,Main Card,M,M. Smith
Season 09,Goro,Rinya Nakamura,Muin Gafurov,-600,L, 900:00,UD,Bantamweight,E-Prelim,M,J. Herzog
Season 09,Ian,Miranda Maverick,Jamey-Lyn Horth,-750,W, 900:00,UD,Flyweight (W),Prelim,F,A. Glenn
Season 09,Ian,Cesar Almeida,Abdul Razak Alhassan,-265,W, 256:00,Round 1 TKO,Middleweight,Main Card,M,M. Beltran
Season 09,Ian,Islam Makhachev,Renato Moicano,-950,W, 245:00,Round 1 Sub,Lightweight,Main Card,M,H. Dean
Season 09,Ian,Shamil Gaziev,Thomas Peterson,-350,W, 192:00,Round 1 TKO,Heavyweight,Prelim,M,J. Herzog
Season 09,Ian,Kevin Jousset,Jonathan Micallef,-210,L, 900:00,UD,Welterweight,E-Prelim,M,R. Mitchell
Season 09,Joe,,,,L,,,,,,
Season 09,Kanta,Jamey-Lyn Horth,Miranda Maverick,525,L, 900:00,UD,Flyweight (W),Prelim,F,A. Glenn
Season 09,Kanta,Bogdan Grad,Lucas Alexander,100,W, 562:00,Round 2 TKO,Catchweight,Prelim,M,K. Hatley
Season 09,Kanta,Justin Tafa,Tallison Teixeira,130,L, 35:00,Round 1 TKO,Heavyweight,Main Card,M,R. Mitchell
Season 09,Noah,Sean Woodson,Fernando Padilla,-150,W, 298:00,Round 1 TKO,Featherweight,Prelim,M,A. Glenn
Season 09,Noah,,,,L,,,,,,
Season 09,Rav,Colby Covington,Joaquin Buckley,185,L, 882:00,Round 3 TKO,Welterweight,Main Card,M,D. Miragliotta
Season 09,Rav,Isreal Adesanya,Nassourdine Imavov,-165,L, 330:00,Round 2 TKO,Middleweight,Main Card,M,M. Goddard
Season 09,Sam,Joaquin Buckley,Colby Covington,-225,W, 882:00,Round 3 TKO,Welterweight,Main Card,M,D. Miragliotta
Season 09,Sam,Roman Kopylov,Chris Curtis,-230,W, 899:00,Round 3 TKO,Middleweight,Main Card,M,M. Smith
Season 09,Sam,Islam Makhachev,Renato Moicano,-950,W, 245:00,Round 1 Sub,Lightweight,Main Card,M,H. Dean
Season 09,Sam,Sergei Pavlovich,Jairzinho Rozenstruik,-290,W, 900:00,UD,Heavyweight,Main Card,M,M. Smith
Season 09,Sam,Dricus Du Plessis,Sean Strickland,-210,W, 1500:00,UD,Middleweight,Main Card,M,M. Goddard
Season 09,Scott,Josefine Knutsson,Piera Rodriguez,-260,L, 900:00,UD,Strawweight (W),Prelim,F,J. Herzog
Season 09,Taylan,Joel Alvarez,Drakkar Klose,-500,W, 168:00,Round 1 TKO,Lightweight,Prelim,M,D. Miragliotta
Season 09,Taylan,Marco Tulio,Ihor Potieria,-530,W, 184:00,Round 1 TKO,Catchweight,Prelim,M,M. Smith
Season 09,Taylan,Payton Talbott,Raoni Barcelos,-1150,L, 900:00,UD,Bantamweight,Prelim,M,H. Dean
Season 09,Ty,Manel Kape,Bruno Silva,-400,W, 717:00,Round 3 TKO,Flyweight,Main Card,M,K. Peterson
Season 09,Ty,Roman Kopylov,Chris Curtis,-230,W, 899:00,Round 3 TKO,Middleweight,Main Card,M,M. Smith
Season 09,Ty,Payton Talbott,Raoni Barcelos,-1150,L, 900:00,UD,Bantamweight,Prelim,M,H. Dean
Season 10,Aaron,Melquizael Costa,Andre Fili,-130,W, 270:00,Round 1 Sub,Featherweight,Prelim,M,J. Hoiby
Season 10,Aaron,JJ Aldrich,Andrea Lee,-190,W, 900:00,UD,Flyweight (W),Prelim,F,C. Tognoni
Season 10,Aaron,Mauricio Ruffy,King Green,-480,W, 127:00,Round 1 TKO,Lightweight,Main Card,M,C. Tognoni
Season 10,Aaron,Roman Dolidze,Marvin Vettori,135,W, 1500:00,UD,Middleweight,Main Card,M,H. Dean
Season 10,Aaron,Nathaniel Wood,Morgan Charriere,-110,W, 900:00,UD,Featherweight,Main Card,M,M. Goddard
Season 10,Aaron,Drew Dober,Manuel Torres,105,L, 105:00,Round 1 TKO,Lightweight,Main Card,M,M. Beltran
Season 10,Alex,Jean Silva,Melsik Baghdasaryan,-550,W, 255:00,Round 1 TKO,Featherweight,Main Card,M,K. MacDonald
Season 10,Alex,Danny Silva,Lucas Almeida,-260,W, 900:00,SD,Catchweight,Prelim,M,M. Beltran
Season 10,Alex,Mauricio Ruffy,King Green,-480,W, 127:00,Round 1 TKO,Lightweight,Main Card,M,C. Tognoni
Season 10,Alex,Kevin Vallejos,Choi Seung-Woo,-600,W, 189:00,Round 1 TKO,Featherweight,Main Card,M,K. Hatley
Season 10,Alex,Alexia Thainara,Molly McCann,-205,W, 272:00,Round 1 Sub,Strawweight (W),Main Card,F,L. Bosacki
Season 10,Alex,Joe Pyfer,Kelvin Gastelum,-320,W,,,Middleweight,Main Card,M,
Season 10,Alex,Torrez Finney,Robert Valentin,-325,W, 900:00,SD,Middleweight,Main Card,M,M. Beltran
Season 10,Alex,Jean Silva,Bryce Mitchell,-205,W, 532:00,Round 2 Sub,Featherweight,Main Card,M,M. Beltran
Season 10,Chika,Rob Font,Jean Matsumoto,130,W, 900:00,SD,Catchweight,Main Card,M,K. Peterson
Season 10,Chika,Manel Kape,Asu Almabayev,-220,W, 736:00,Round 3 TKO,Flyweight,Main Card,M,M. Beltran
Season 10,Chika,Justin Gaethje,Rafael Fiziev,135,W, 900:00,UD,Lightweight,Main Card,M,J. Herzog
Season 10,Chika,Alexander Hernandez,Kurt Holobaugh,-205,W, 900:00,UD,Lightweight,Main Card,M,K. Hatley
Season 10,Chika,Leon Edwards,Sean Brady,110,L, 999:00,Round 4 Sub,Welterweight,Main Card,M,J. Herzog
Season 10,Conor,Jean Silva,Melsik Baghdasaryan,-550,W, 255:00,Round 1 TKO,Featherweight,Main Card,M,K. MacDonald
Season 10,Conor,Esteban Ribovics,Nasrat Haqparast,-265,L, 900:00,SD,Lightweight,Main Card,M,J. Herzog
Season 10,Daniel,Mansur Abdul-Malik,Nick Klein,-1350,W, 504:00,Round 2 TKO,Middleweight,Prelim,M,J. Herzog
Season 10,Daniel,Esteban Ribovics,Nasrat Haqparast,-265,L, 900:00,SD,Lightweight,Main Card,M,J. Herzog
Season 10,Felix,,,,L,,,,,,
Season 10,Goro,Anthony Hernandez,Brendan Allen,-330,W, 900:00,UD,Middleweight,Main Card,M,M. Beltran
Season 10,Goro,Hyder Amil,William Gomis,180,W, 900:00,SD,Featherweight,Main Card,M,C. Tognoni
Season 10,Goro,Joshua Van,Rei Tsuruya,-165,W, 900:00,UD,Flyweight,Prelim,M,J. Herzog
Season 10,Goro,Diyar Nurgozhay,Brendson Ribeiro,-400,L, 88:00,Round 1 Sub,Catchweight,Main Card,M,H. Dean
Season 10,Ian,Alonzo Menifield,Julius Walker,-245,W, 900:00,SD,Light Heavyweight,Main Card,M,J. Herzog
Season 10,Ian,Esteban Ribovics,Nasrat Haqparast,-265,L, 900:00,SD,Lightweight,Main Card,M,J. Herzog
Season 10,Joe,Austin Vanderford,Nikolay Veretennikov,-115,W, 553:00,Round 2 TKO,Catchweight,Prelim,M,K. MacDonald
Season 10,Joe,Chepe Mariscal,Ricardo Ramos,-370,W, 900:00,UD,Featherweight,Prelim,M,J. Herzog
Season 10,Joe,Mauricio Ruffy,King Green,-480,W, 127:00,Round 1 TKO,Lightweight,Main Card,M,C. Tognoni
Season 10,Joe,Da'Mon Blackshear,Cody Gibson,-485,W, 549:00,Round 2 Sub,Bantamweight,Main Card,M,C. Tognoni
Season 10,Joe,Kevin Holland,Gunnar Nelson,110,W, 900:00,UD,Welterweight,Main Card,M,D. Movahedi
Season 10,Joe,Joe Pyfer,Kelvin Gastelum,-320,W,,,Middleweight,Main Card,M,nan
Season 10,Joe,Torrez Finney,Robert Valentin,-325,W, 900:00,SD,Middleweight,Main Card,M,M. Beltran
Season 10,Joe,Nikita Krylov,Dominick Reyes,-160,L, 144:00,Round 1 TKO,Light Heavyweight,Main Card,M,M. Goddard
Season 10,Kanta,Jean Matsumoto,Rob Font,-160,L, 900:00,SD,Catchweight,Main Card,M,K. Peterson
Season 10,Noah,Anthony Hernandez,Brendan Allen,-330,W, 900:00,UD,Middleweight,Main Card,M,M. Beltran
Season 10,Noah,Esteban Ribovics,Nasrat Haqparast,-265,L, 900:00,SD,Lightweight,Main Card,M,J. Herzog
Season 10,Rav,Song Yadong,Henry Cejudo,-260,W, 900:00,UD,Bantamweight,Main Card,M,J. Herzog
Season 10,Rav,Manel Kape,Asu Almabayev,-220,W, 736:00,Round 3 TKO,Flyweight,Main Card,M,M. Beltran
Season 10,Rav,Alex Pereira,Magomed Ankalaev,-120,L, 1500:00,UD,Light Heavyweight,Main Card,M,M. Goddard
Season 10,Sam,Song Yadong,Henry Cejudo,-260,W, 900:00,UD,Bantamweight,Main Card,M,J. Herzog
Season 10,Sam,Esteban Ribovics,Nasrat Haqparast,-265,L, 900:00,SD,Lightweight,Main Card,M,J. Herzog
Season 10,Scott,Jean Silva,Melsik Baghdasaryan,-550,W, 255:00,Round 1 TKO,Featherweight,Main Card,M,K. MacDonald
Season 10,Scott,Danny Barlow,Sam Patterson,-225,L, 190:00,Round 1 TKO,Welterweight,Main Card,M,M. Beltran
Season 10,Taylan,Anthony Hernandez,Brendan Allen,-330,W, 900:00,UD,Middleweight,Main Card,M,M. Beltran
Season 10,Taylan,Esteban Ribovics,Nasrat Haqparast,-265,L, 900:00,SD,Lightweight,Main Card,M,J. Herzog
Season 10,Ty,Alonzo Menifield,Julius Walker,-245,W, 900:00,SD,Light Heavyweight,Main Card,M,J. Herzog
Season 10,Ty,Esteban Ribovics,Nasrat Haqparast,-265,L, 900:00,SD,Lightweight,Main Card,M,J. Herzog
